query,expected_value,expected_unit,source_page
What is the torque for the Lower arm forward and rearward nuts?,350,Nm,24
What is the torque for the Lower ball joint nut?,175,Nm,24
What is the torque for the Shock absorber lower nuts?,90,Nm,24
What is the torque for the Shock absorber upper mount nuts?,63,Nm,24
What is the torque for the Shock rod nut?,55,Nm,24
What is the torque for the Stabilizer bar bracket nuts?,55,Nm,24
What is the torque for the Stabilizer bar link nuts?,70,Nm,24
What is the torque for the Tie-rod end nut?,115,Nm,24
What is the torque for the Upper arm-to-frame nuts?,150,Nm,24
What is the torque for the Upper ball joint nut?,115,Nm,24
What is the torque for the Wheel bearing and wheel hub bolts?,175,Nm,24
What is the torque for the Halfshaft nut?,40,Nm,59
What is the torque for the Shock absorber lower nut (SVT Raptor)?,550,Nm,59
What is the torque for the Skid plate bolts?,48,Nm,59
What is the torque for the Stabilizer bar link nuts (SVT Raptor)?,80,Nm,59
What is the The minimum depth is?,15.5,mm,104
What is the less than?,15.5,mm,104
What is the torque for the Shock absorber nuts?,90,Nm,128
What is the torque for the Spring shackle-to-frame nut?,185,Nm,128
What is the torque for the Spring-to-frame nut?,350,Nm,128
What is the torque for the Spring-to-shackle nut?,185,Nm,128
What is the torque for the Jounce bumper-to-frame bolt?,35,Nm,128
What is the The protrusion on the spring spacer should face toward the front of the vehicle on?,157,in,137
What is the wheelbase applications and face toward the rear on?,126,in,137
What is the z If the runout reading of a wheel and tire assembly is greater than?,1.14,mm,182
What is the z If the runout reading of a wheel and tire assembly is?,1.14,mm,182
What is the within?,101.6,mm,183
What is the z If the second high spot is not within?,101.6,mm,183
What is the If the second high spot is still above specification and within?,101.6,mm,184
What is the wheel runout exceeds?,1.14,mm,184
What is the For every?,0.001,in,185
What is the Drive pinion flange runout?,0.25,mm,199
What is the Maximum allowable driveshaft runout?,0.50,mm,199
What is the wheelbase?,4.6,L,214
What is the If the flange runout exceeds?,0.25,mm,218
What is the flange runout is still more than?,0.25,mm,218
What is the z If the runout exceeds?,1,mm,229
What is the z If the front and center is within?,1,mm,229
What is the z If the runout is within?,1,mm,229
What is the second test with the?,12,mm,231
What is the Separate the clamp heads about?,13,mm,233
What is the torque for the Rear driveshaft center bearing bolts?,48,Nm,234
What is the torque for the Rear driveshaft flange bolts?,103,Nm,234
What is the torque for the Front driveshaft flange-to-pinion flange bolts?,55,Nm,234
What is the torque for the Front driveshaft flange-to-transfer case flange bolts?,55,Nm,234
What is the torque for the Skid plate bolts (SVT Raptor vehicles)?,48,Nm,234
